Netflix stock,NFLX,Netflix earnings,Netflix cancel,Netflix new shows
39,36,0,0,0
30,30,0,0,0
30,21,0,0,0
35,0,0,0,0
41,25,0,0,0
27,22,0,0,0
28,27,0,0,0
30,17,0,0,0
27,26,0,0,0
37,0,0,0,0
33,20,0,0,0
35,23,0,0,0
29,17,0,0,0
35,14,0,0,0
39,18,0,0,0
30,28,0,0,17
28,18,0,14,0
19,23,0,0,0
19,23,0,0,0
29,26,0,0,0
24,16,0,0,16
34,14,0,0,0
27,15,0,0,16
27,21,0,0,0
29,17,0,0,0
31,20,0,0,0
28,14,0,0,0
26,17,0,0,0
41,18,0,20,0
27,16,0,0,0
24,0,0,18,0
24,14,0,0,0
31,19,0,0,0
18,15,0,0,0
28,17,0,0,0
34,0,0,0,15
25,0,0,0,0
19,0,0,0,0
18,0,0,0,20
20,16,0,0,0
26,0,0,0,0
25,0,0,0,0
23,0,0,0,0
16,0,0,0,16
23,0,0,0,0
18,32,0,0,18
16,0,0,0,0
16,0,0,0,24
19,0,0,0,0
28,0,0,0,0
18,17,0,0,16
17,16,0,25,0
0,0,0,0,0
16,0,0,0,18
19,0,0,0,17
22,0,0,0,15
24,0,0,0,20
16,18,0,0,29
0,0,0,0,26
42,0,0,0,19
19,0,0,0,24
22,15,0,0,18
19,0,0,0,19
15,16,0,0,29
16,0,0,0,16
19,0,0,0,17
17,0,0,19,32
17,0,0,0,18
19,0,0,0,25
22,15,0,18,17
17,0,0,0,18
18,0,0,0,21
26,0,0,0,22
0,0,0,0,21
21,0,0,0,0
20,0,0,0,0
21,0,0,0,0
17,0,0,0,0
29,0,0,0,22
0,0,0,0,22
0,0,0,21,0
20,0,0,0,0
24,0,0,0,0
23,24,24,0,0
21,0,24,0,21
27,0,0,0,0
25,0,0,29,0
0,0,0,0,0
29,0,0,28,0
0,0,0,0,0
0,0,0,0,34
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
47,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
64,0,56,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,54
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,100
0,0,0,0,0
0,99,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
84,0,0,0,0
0,0,97,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
78,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,69,0
50,0,0,0,0
55,0,0,0,0
43,0,0,0,0
0,40,0,0,0
41,0,0,0,0
44,37,0,0,0
39,0,0,0,0
46,33,0,34,0
33,0,0,0,0
0,30,0,0,0
36,0,0,0,0
32,0,0,0,0
31,46,0,0,0
31,25,0,0,0
26,29,0,0,0
27,24,0,0,0
0,24,0,0,0
0,0,0,0,0
0,33,0,0,26
25,0,0,0,0
29,22,0,25,0
60,29,0,0,0
45,21,0,0,0
36,35,0,0,0
33,33,0,0,0
37,23,0,0,0
31,28,0,19,17
47,45,0,0,0
42,25,0,0,0
34,20,0,0,16
31,44,0,0,0
35,48,0,16,0
30,31,0,0,0
30,28,0,0,0
51,30,0,0,0
38,18,0,0,0
36,0,0,0,0
30,26,0,0,0
19,18,0,0,0
22,22,0,0,0
33,20,0,0,0
42,0,0,0,0
